AllowIPNPayment,AllowOnlinePayment,AllowOnlineCreditCardPayment,AllowOnlineACHPayment,AllowOnlinePayPalPayment,AllowOnlineAffirmPayment,domain,sparse,Id,SyncToken,MetaData,CustomField,DocNumber,TxnDate,CurrencyRef,LinkedTxn,Line,TxnTaxDetail,CustomerRef,CustomerMemo,BillAddr,ShipAddr,FreeFormAddress,SalesTermRef,DueDate,TotalAmt,ApplyTaxAfterDiscount,PrintStatus,EmailStatus,Balance,TaxExemptionRef,ShipFromAddr,PaymentRefNum,DepartmentRef,BillEmail,PrivateNote,CustomerId,CustomerName,Overdue,Month,LineItemCount,City,State,SalesClass,SalesItem,Revenue,RevenueBalance
False,False,False,False,False,False,QBO,False,11130,0,"{'CreateTime': '2026-08-11T06:08:43-07:00', 'LastModifiedByRef': {'value': '9341455164311404'}, 'LastUpdatedTime': '2026-08-11T06:08:43-07:00'}",[],15322,2026-08-10,"{'value': 'USD', 'name': 'United States Dollar'}",[],"[{'Id': '1', 'LineNum': 1, 'Description': 'VOX 4.3009', 'Amount': 508.2, 'DetailType': 'SalesItemLineDetail', 'SalesItemLineDetail': {'ItemRef': {'value': '3', 'name': 'Evaporation VOX 150'}, 'ClassRef': {'value': '1041713', 'name': 'USL West'}, 'UnitPrice': 2.2, 'Qty': 231, 'ItemAccountRef': {'value': '27', 'name': '41030 Sales/ Revenue VOX 150:Evaporation Revenues VOX 150'}, 'TaxCodeRef': {'value': 'NON'}, 'TaxClassificationRef': {}}, 'CustomExtensions': []}, {'Amount': 508.2, 'DetailType': 'SubTotalLineDetail', 'SubTotalLineDetail': {}}]","{'TxnTaxCodeRef': {'value': '2'}, 'TotalTax': 0, 'TaxLine': [{'Amount': 0, 'DetailType': 'TaxLineDetail', 'TaxLineDetail': {'TaxRateRef': {'value': '2'}, 'PercentBased': True, 'TaxPercent': 0, 'NetAmountTaxable': 0}}]}","{'value': '11', 'name': 'Anschutz Exploration Corporation'}","{'value': 'Pad Drumlin Total Evaporated 231 BBLs from 01 Aug to 09 Aug, 2026'}","{'Id': '43', 'Line1': '555 17th Street, Suite 2400', 'City': 'Denver', 'Country': 'United States', 'CountrySubDivisionCode': 'CO', 'PostalCode': '80202'}","{'Id': '5347', 'Line1': 'Anschutz Exploration Corporation', 'Line2': '555 17th Street, Suite 2400', 'Line3': 'Denver, CO  80202', 'Line4': 'United States'}",True,"{'value': '3', 'name': 'Net 30'}",2026-09-09,508.2,False,NeedToPrint,NotSet,508.2,{},,,,,,11,Anschutz Exploration Corporation,False,2026-08-01,1,Denver,CO,USL West,Evaporation VOX 150,508.2,508.2
False,False,False,False,False,False,QBO,False,11129,0,"{'CreateTime': '2026-08-11T06:07:21-07:00', 'LastModifiedByRef': {'value': '9341455164311404'}, 'LastUpdatedTime': '2026-08-11T06:07:21-07:00'}",[],15321,2026-08-10,"{'value': 'USD', 'name': 'United States Dollar'}",[],"[{'Id': '1', 'LineNum': 1, 'Description': 'VOX 4.4002, 4007', 'Amount': 4538.6, 'DetailType': 'SalesItemLineDetail', 'SalesItemLineDetail': {'ItemRef': {'value': '3', 'name': 'Evaporation VOX 150'}, 'ClassRef': {'value': '1041713', 'name': 'USL West'}, 'UnitPrice': 2.2, 'Qty': 2063, 'ItemAccountRef': {'value': '27', 'name': '41030 Sales/ Revenue VOX 150:Evaporation Revenues VOX 150'}, 'TaxCodeRef': {'value': 'NON'}, 'TaxClassificationRef': {}}, 'CustomExtensions': []}, {'Amount': 4538.6, 'DetailType': 'SubTotalLineDetail', 'SubTotalLineDetail': {}}]","{'TxnTaxCodeRef': {'value': '2'}, 'TotalTax': 0, 'TaxLine': [{'Amount': 0, 'DetailType': 'TaxLineDetail', 'TaxLineDetail': {'TaxRateRef': {'value': '2'}, 'PercentBased': True, 'TaxPercent': 0, 'NetAmountTaxable': 0}}]}","{'value': '11', 'name': 'Anschutz Exploration Corporation'}","{'value': 'Pad Torrey Total Evaporated 2,063 BBLs from 01 Aug to 09 Aug, 2026'}","{'Id': '43', 'Line1': '555 17th Street, Suite 2400', 'City': 'Denver', 'Country': 'United States', 'CountrySubDivisionCode': 'CO', 'PostalCode': '80202'}","{'Id': '5346', 'Line1': 'Anschutz Exploration Corporation', 'Line2': '555 17th Street, Suite 2400', 'Line3': 'Denver, CO  80202', 'Line4': 'United States'}",True,"{'value': '3', 'name': 'Net 30'}",2026-09-09,4538.6,False,NeedToPrint,NotSet,4538.6,{},,,,,,11,Anschutz Exploration Corporation,False,2026-08-01,1,Denver,CO,USL West,Evaporation VOX 150,4538.6,4538.6
False,False,False,False,False,False,QBO,False,10914,3,"{'CreateTime': '2026-08-06T02:52:34-07:00', 'LastModifiedByRef': {'value': '9341455164311404'}, 'LastUpdatedTime': '2026-08-10T11:53:19-07:00'}",[],15315,2026-07-31,"{'value': 'USD', 'name': 'United States Dollar'}",[],"[{'Id': '4', 'LineNum': 1, 'Description': 'VOX 4.2012, 3010, 4005, 4009, 5030', 'Amount': 11238.05, 'DetailType': 'SalesItemLineDetail', 'SalesItemLineDetail': {'ItemRef': {'value': '3', 'name': 'Evaporation VOX 150'}, 'ClassRef': {'value': '1041712', 'name': 'USL South'}, 'UnitPrice': 2.15, 'Qty': 5227, 'ItemAccountRef': {'value': '27', 'name': '41030 Sales/ Revenue VOX 150:Evaporation Revenues VOX 150'}, 'TaxCodeRef': {'value': 'NON'}, 'TaxClassificationRef': {}}, 'CustomExtensions': []}, {'Id': '5', 'LineNum': 2, 'Description': 'Prepaid Deposit', 'Amount': -11238.05, 'DetailType': 'SalesItemLineDetail', 'SalesItemLineDetail': {'ItemRef': {'value': '15', 'name': 'Prepaid Deposit'}, 'UnitPrice': -11238.05, 'Qty': 1, 'ItemAccountRef': {'value': '6', 'name': '22600 Deferred Revenue'}, 'TaxCodeRef': {'value': 'NON'}, 'TaxClassificationRef': {}}, 'CustomExtensions': []}, {'Amount': 0, 'DetailType': 'SubTotalLineDetail', 'SubTotalLineDetail': {}}]","{'TxnTaxCodeRef': {'value': '2'}, 'TotalTax': 0, 'TaxLine': [{'Amount': 0, 'DetailType': 'TaxLineDetail', 'TaxLineDetail': {'TaxRateRef': {'value': '2'}, 'PercentBased': True, 'TaxPercent': 0, 'NetAmountTaxable': 0}}]}","{'value': '4', 'name': 'Magnolia Oil & Gas Operating LLC'}","{'value': 'Pad Delta Total Evaporated 3,522 BBLs from 01 Jul to 31 Jul, 2026\nRemaining Deposit = $134,085.70 - $11,238.05 = $122,847.65'}","{'Id': '37', 'Line1': '9 Greenway Plaza, Suite 1300', 'City': 'Houston', 'Country': 'United States', 'CountrySubDivisionCode': 'TX', 'PostalCode': '77046'}","{'Id': '5299', 'Line1': 'Magnolia Oil & Gas Operating LLC', 'Line2': '9 Greenway Plaza, Suite 1300', 'Line3': 'Houston, TX  77046', 'Line4': 'United States'}",True,"{'value': '3', 'name': 'Net 30'}",2026-07-31,0.0,False,NeedToPrint,NotSet,0.0,{},,,,,,4,Magnolia Oil & Gas Operating LLC,False,2026-07-01,2,Houston,TX,USL South,Evaporation VOX 150,11238.05,0.0
False,False,False,False,False,False,QBO,False,11112,1,"{'CreateTime': '2026-08-10T08:57:53-07:00', 'LastModifiedByRef': {'value': '9341455164311404'}, 'LastUpdatedTime': '2026-08-10T08:58:19-07:00'}",[],15320,2026-07-31,"{'value': 'USD', 'name': 'United States Dollar'}",[],"[{'Id': '4', 'LineNum': 1, 'Description': 'MVC Charges for Delta Pad', 'Amount': 12089.45, 'DetailType': 'SalesItemLineDetail', 'SalesItemLineDetail': {'ItemRef': {'value': '4', 'name': 'MVC Charges VOX 150'}, 'ClassRef': {'value': '1041712', 'name': 'USL South'}, 'UnitPrice': 2.15, 'Qty': 5623, 'ItemAccountRef': {'value': '1150040094', 'name': '41020 Sales/ Revenue VOX 150:MVC Charges VOX 150'}, 'TaxCodeRef': {'value': 'NON'}, 'TaxClassificationRef': {}}, 'CustomExtensions': []}, {'Id': '5', 'LineNum': 2, 'Description': 'Prepaid Deposit', 'Amount': -12089.45, 'DetailType': 'SalesItemLineDetail', 'SalesItemLineDetail': {'ItemRef': {'value': '15', 'name': 'Prepaid Deposit'}, 'ClassRef': {'value': '1041712', 'name': 'USL South'}, 'UnitPrice': -12089.45, 'Qty': 1, 'ItemAccountRef': {'value': '6', 'name': '22600 Deferred Revenue'}, 'TaxCodeRef': {'value': 'NON'}, 'TaxClassificationRef': {}}, 'CustomExtensions': []}, {'Amount': 0, 'DetailType': 'SubTotalLineDetail', 'SubTotalLineDetail': {}}]","{'TxnTaxCodeRef': {'value': '2'}, 'TotalTax': 0, 'TaxLine': [{'Amount': 0, 'DetailType': 'TaxLineDetail', 'TaxLineDetail': {'TaxRateRef': {'value': '2'}, 'PercentBased': True, 'TaxPercent': 0, 'NetAmountTaxable': 0}}]}","{'value': '4', 'name': 'Magnolia Oil & Gas Operating LLC'}","{'value': 'Delta Pad MVC Charges from 01 Jul to 31 Jul 2026\nCalculation Attached.\nRemaining Deposit = $122,847.65 - $12,089.45 = $110,758.20'}","{'Id': '37', 'Line1': '9 Greenway Plaza, Suite 1300', 'City': 'Houston', 'Country': 'United States', 'CountrySubDivisionCode': 'TX', 'PostalCode': '77046'}","{'Id': '5332', 'Line1': 'Magnolia Oil & Gas Operating LLC', 'Line2': '9 Greenway Plaza, Suite 1300', 'Line3': 'Houston, TX  77046', 'Line4': 'United States'}",True,"{'value': '3', 'name': 'Net 30'}",2026-07-31,0.0,False,NeedToPrint,NotSet,0.0,{},,,,,,4,Magnolia Oil & Gas Operating LLC,False,2026-07-01,2,Houston,TX,USL South,MVC Charges VOX 150,12089.45,0.0
False,False,False,False,False,False,QBO,False,10460,6,"{'CreateTime': '2026-07-10T08:50:06-07:00', 'LastModifiedByRef': {'value': '0'}, 'LastUpdatedTime': '2026-08-01T14:35:04-07:00'}",[],15298,2026-06-30,"{'value': 'USD', 'name': 'United States Dollar'}",[],"[{'Id': '1', 'LineNum': 1, 'Description': 'Demobilization Cost for Hendrix, WY Pad', 'Amount': 5000.0, 'DetailType': 'SalesItemLineDetail', 'SalesItemLineDetail': {'ItemRef': {'value': '1', 'name': 'Mobilization/Demobilization VOX 150'}, 'ClassRef': {'value': '1041713', 'name': 'USL West'}, 'UnitPrice': 2500, 'Qty': 2, 'ItemAccountRef': {'value': '1150040061', 'name': '41010 Sales/ Revenue VOX 150:Mob Demob Revenue VOX 150'}, 'TaxCodeRef': {'value': 'NON'}, 'TaxClassificationRef': {}}, 'CustomExtensions': []}, {'Id': '3', 'LineNum': 3, 'Description': 'Flat fee - Applied on Jul 31, 2026', 'Amount': 0, 'DetailType': 'SalesItemLineDetail', 'SalesItemLineDetail': {'ItemRef': {'value': '14', 'name': 'Late fee'}, 'ItemAccountRef': {'value': '153', 'name': '83300 Late Fee Income'}, 'TaxCodeRef': {'value': 'NON'}, 'TaxClassificationRef': {}}, 'CustomExtensions': []}, {'Amount': 5000.0, 'DetailType': 'SubTotalLineDetail', 'SubTotalLineDetail': {}}]","{'TxnTaxCodeRef': {'value': '2'}, 'TotalTax': 0, 'TaxLine': [{'Amount': 0, 'DetailType': 'TaxLineDetail', 'TaxLineDetail': {'TaxRateRef': {'value': '2'}, 'PercentBased': True, 'TaxPercent': 0, 'NetAmountTaxable': 0}}]}","{'value': '14', 'name': 'Longs Peak Resources, LLC'}","{'value': 'DeMobilization Cost for Hendrix, WY Pad for 2 Unit as per Contract.'}","{'Id': '5121', 'Line1': 'Longs Peak Resources, LLC', 'Line2': '575 N. Dairy Ashford Suite 210', 'Line3': 'Houston, TX  77079', 'Line4': 'United States'}","{'Id': '5122', 'Line1': 'Longs Peak Resources, LLC', 'Line2': '575 N. Dairy Ashford Suite 210', 'Line3': 'Houston, TX  77079', 'Line4': 'United States'}",True,"{'value': '3', 'name': 'Net 30'}",2026-07-30,5000.0,False,NotSet,NotSet,5000.0,{},,15298,"{'value': '3', 'name': 'USL East'}",,,14,"Longs Peak Resources, LLC",True,2026-06-01,2,Houston,TX,USL West,Mobilization/Demobilization VOX 150,5000.0,5000.0
False,False,False,False,False,False,QBO,False,11111,0,"{'CreateTime': '2026-08-10T08:55:06-07:00', 'LastModifiedByRef': {'value': '9341455164311404'}, 'LastUpdatedTime': '2026-08-10T08:55:06-07:00'}",[],15319,2026-07-31,"{'value': 'USD', 'name': 'United States Dollar'}",[],"[{'Id': '1', 'LineNum': 1, 'Description': 'MVC Charges for Ferguson McKnight', 'Amount': 2463.75, 'DetailType': 'SalesItemLineDetail', 'SalesItemLineDetail': {'ItemRef': {'value': '4', 'name': 'MVC Charges VOX 150'}, 'ClassRef': {'value': '1041712', 'name': 'USL South'}, 'UnitPrice': 2.25, 'Qty': 1095, 'ItemAccountRef': {'value': '1150040094', 'name': '41020 Sales/ Revenue VOX 150:MVC Charges VOX 150'}, 'TaxCodeRef': {'value': 'NON'}, 'TaxClassificationRef': {}}, 'CustomExtensions': []}, {'Amount': 2463.75, 'DetailType': 'SubTotalLineDetail', 'SubTotalLineDetail': {}}]","{'TxnTaxCodeRef': {'value': '2'}, 'TotalTax': 0, 'TaxLine': [{'Amount': 0, 'DetailType': 'TaxLineDetail', 'TaxLineDetail': {'TaxRateRef': {'value': '2'}, 'PercentBased': True, 'TaxPercent': 0, 'NetAmountTaxable': 0}}]}","{'value': '4', 'name': 'Magnolia Oil & Gas Operating LLC'}",{'value': 'Pad Ferguson McKnight MVC Charges from 01 Jul to 31 Jul 2026\nCalculation Attached.'},"{'Id': '37', 'Line1': '9 Greenway Plaza, Suite 1300', 'City': 'Houston', 'Country': 'United States', 'CountrySubDivisionCode': 'TX', 'PostalCode': '77046'}","{'Id': '5331', 'Line1': 'Magnolia Oil & Gas Operating LLC', 'Line2': '9 Greenway Plaza, Suite 1300', 'Line3': 'Houston, TX  77046', 'Line4': 'United States'}",True,"{'value': '3', 'name': 'Net 30'}",2026-08-30,2463.75,False,NeedToPrint,NotSet,2463.75,{},,,,,,4,Magnolia Oil & Gas Operating LLC,False,2026-07-01,1,Houston,TX,USL South,MVC Charges VOX 150,2463.75,2463.75
False,False,False,False,False,False,QBO,False,11110,0,"{'CreateTime': '2026-08-10T08:48:32-07:00', 'LastModifiedByRef': {'value': '9341455164311404'}, 'LastUpdatedTime': '2026-08-10T08:48:32-07:00'}",[],15318,2026-07-31,"{'value': 'USD', 'name': 'United States Dollar'}",[],"[{'Id': '1', 'LineNum': 1, 'Description': 'MVC Charges for Torreys Pad', 'Amount': 3902.8, 'DetailType': 'SalesItemLineDetail', 'SalesItemLineDetail': {'ItemRef': {'value': '4', 'name': 'MVC Charges VOX 150'}, 'ClassRef': {'value': '1041713', 'name': 'USL West'}, 'UnitPrice': 2.2, 'Qty': 1774, 'ItemAccountRef': {'value': '1150040094', 'name': '41020 Sales/ Revenue VOX 150:MVC Charges VOX 150'}, 'TaxCodeRef': {'value': 'NON'}, 'TaxClassificationRef': {}}, 'CustomExtensions': []}, {'Amount': 3902.8, 'DetailType': 'SubTotalLineDetail', 'SubTotalLineDetail': {}}]","{'TxnTaxCodeRef': {'value': '2'}, 'TotalTax': 0, 'TaxLine': [{'Amount': 0, 'DetailType': 'TaxLineDetail', 'TaxLineDetail': {'TaxRateRef': {'value': '2'}, 'PercentBased': True, 'TaxPercent': 0, 'NetAmountTaxable': 0}}]}","{'value': '11', 'name': 'Anschutz Exploration Corporation'}","{'value': 'Standby Charges for Torreys Pad from Jul 01, 2026 to Jul 31, 2026\nCalculation Attached'}","{'Id': '43', 'Line1': '555 17th Street, Suite 2400', 'City': 'Denver', 'Country': 'United States', 'CountrySubDivisionCode': 'CO', 'PostalCode': '80202'}","{'Id': '5330', 'Line1': 'Anschutz Exploration Corporation', 'Line2': '555 17th Street, Suite 2400', 'Line3': 'Denver, CO  80202', 'Line4': 'United States'}",True,"{'value': '3', 'name': 'Net 30'}",2026-08-30,3902.8,False,NeedToPrint,NotSet,3902.8,{},,,,,,11,Anschutz Exploration Corporation,False,2026-07-01,1,Denver,CO,USL West,MVC Charges VOX 150,3902.8,3902.8
False,False,False,False,False,False,QBO,False,11109,0,"{'CreateTime': '2026-08-10T08:45:58-07:00', 'LastModifiedByRef': {'value': '9341455164311404'}, 'LastUpdatedTime': '2026-08-10T08:45:58-07:00'}",[],15317,2026-07-31,"{'value': 'USD', 'name': 'United States Dollar'}",[],"[{'Id': '1', 'LineNum': 1, 'Description': 'MVC Charges', 'Amount': 838.2, 'DetailType': 'SalesItemLineDetail', 'SalesItemLineDetail': {'ItemRef': {'value': '4', 'name': 'MVC Charges VOX 150'}, 'ClassRef': {'value': '1041713', 'name': 'USL West'}, 'UnitPrice': 2.2, 'Qty': 381, 'ItemAccountRef': {'value': '1150040094', 'name': '41020 Sales/ Revenue VOX 150:MVC Charges VOX 150'}, 'TaxCodeRef': {'value': 'NON'}, 'TaxClassificationRef': {}}, 'CustomExtensions': []}, {'Amount': 838.2, 'DetailType': 'SubTotalLineDetail', 'SubTotalLineDetail': {}}]","{'TxnTaxCodeRef': {'value': '2'}, 'TotalTax': 0, 'TaxLine': [{'Amount': 0, 'DetailType': 'TaxLineDetail', 'TaxLineDetail': {'TaxRateRef': {'value': '2'}, 'PercentBased': True, 'TaxPercent': 0, 'NetAmountTaxable': 0}}]}","{'value': '11', 'name': 'Anschutz Exploration Corporation'}","{'value': 'Standby Charges for Beirstadt Pad from Jul 01, 2026 to Jul 31, 2026\nCalculation Attached'}","{'Id': '43', 'Line1': '555 17th Street, Suite 2400', 'City': 'Denver', 'Country': 'United States', 'CountrySubDivisionCode': 'CO', 'PostalCode': '80202'}","{'Id': '5329', 'Line1': 'Anschutz Exploration Corporation', 'Line2': '555 17th Street, Suite 2400', 'Line3': 'Denver, CO  80202', 'Line4': 'United States'}",True,"{'value': '3', 'name': 'Net 30'}",2026-08-30,838.2,False,NeedToPrint,NotSet,838.2,{},,,,,,11,Anschutz Exploration Corporation,False,2026-07-01,1,Denver,CO,USL West,MVC Charges VOX 150,838.2,838.2
False,False,False,False,False,False,QBO,False,10915,0,"{'CreateTime': '2026-08-06T08:38:14-07:00', 'LastModifiedByRef': {'value': '9341455164311404'}, 'LastUpdatedTime': '2026-08-06T08:38:14-07:00'}",[],15316,2026-07-31,"{'value': 'USD', 'name': 'United States Dollar'}",[],"[{'Id': '1', 'LineNum': 1, 'Description': 'VOX 4.8001', 'Amount': 4109.0, 'DetailType': 'SalesItemLineDetail', 'SalesItemLineDetail': {'ItemRef': {'value': '2', 'name': 'Evaporation VOX 1000'}, 'ClassRef': {'value': '1041713', 'name': 'USL West'}, 'UnitPrice': 1.75, 'Qty': 2348, 'ItemAccountRef': {'value': '1150040095', 'name': '40030 Sales/ Revenue VOX 1000:Evaporation Revenues VOX 1000'}, 'TaxCodeRef': {'value': 'NON'}, 'TaxClassificationRef': {}}, 'CustomExtensions': []}, {'Amount': 4109.0, 'DetailType': 'SubTotalLineDetail', 'SubTotalLineDetail': {}}]","{'TxnTaxCodeRef': {'value': '2'}, 'TotalTax': 0, 'TaxLine': [{'Amount': 0, 'DetailType': 'TaxLineDetail', 'TaxLineDetail': {'TaxRateRef': {'value': '2'}, 'PercentBased': True, 'TaxPercent': 0, 'NetAmountTaxable': 0}}]}","{'value': '11', 'name': 'Anschutz Exploration Corporation'}","{'value': 'Pad Drumlin VOX 1000 Total Evaporated 2,348 BBLs from 24 Jul to 31 Jul, 2026'}","{'Id': '43', 'Line1': '555 17th Street, Suite 2400', 'City': 'Denver', 'Country': 'United States', 'CountrySubDivisionCode': 'CO', 'PostalCode': '80202'}","{'Id': '5300', 'Line1': 'Anschutz Exploration Corporation', 'Line2': '555 17th Street, Suite 2400', 'Line3': 'Denver, CO  80202', 'Line4': 'United States'}",True,"{'value': '3', 'name': 'Net 30'}",2026-08-30,4109.0,False,NeedToPrint,NotSet,4109.0,{},,,,,,11,Anschutz Exploration Corporation,False,2026-07-01,1,Denver,CO,USL West,Evaporation VOX 1000,4109.0,4109.0
False,False,False,False,False,False,QBO,False,1293,1,"{'CreateTime': '2025-08-20T06:03:28-07:00', 'LastModifiedByRef': {'value': '9341455164311404'}, 'LastUpdatedTime': '2025-08-20T06:03:28-07:00'}",[],13463,2024-11-01,"{'value': 'USD', 'name': 'United States Dollar'}","[{'TxnId': '1294', 'TxnType': 'Payment'}]","[{'Id': '1', 'LineNum': 1, 'Description': 'DeMobilization Cost for 4 Unit @$1500', 'Amount': 6000.0, 'DetailType': 'SalesItemLineDetail', 'SalesItemLineDetail': {'ItemRef': {'value': '1', 'name': 'Mobilization/Demobilization VOX 150'}, 'ClassRef': {'value': '1041711', 'name': 'USL East'}, 'UnitPrice': 0, 'Qty': 0, 'ItemAccountRef': {'value': '1150040061', 'name': '41010 Sales/ Revenue VOX 150:Mob Demob Revenue VOX 150'}, 'TaxCodeRef': {'value': 'NON'}, 'TaxClassificationRef': {}}, 'CustomExtensions': []}, {'Id': '2', 'LineNum': 2, 'Description': 'DeMobilization Cost for 1 Unit @$1500', 'Amount': 1500.0, 'DetailType': 'SalesItemLineDetail', 'SalesItemLineDetail': {'ItemRef': {'value': '1', 'name': 'Mobilization/Demobilization VOX 150'}, 'ClassRef': {'value': '1041711', 'name': 'USL East'}, 'UnitPrice': 0, 'Qty': 0, 'ItemAccountRef': {'value': '1150040061', 'name': '41010 Sales/ Revenue VOX 150:Mob Demob Revenue VOX 150'}, 'TaxCodeRef': {'value': 'NON'}, 'TaxClassificationRef': {}}, 'CustomExtensions': []}, {'Id': '3', 'LineNum': 3, 'Description': 'DeMobilization Cost for 1 Unit @$1500', 'Amount': 1500.0, 'DetailType': 'SalesItemLineDetail', 'SalesItemLineDetail': {'ItemRef': {'value': '1', 'name': 'Mobilization/Demobilization VOX 150'}, 'ClassRef': {'value': '1041711', 'name': 'USL East'}, 'UnitPrice': 0, 'Qty': 0, 'ItemAccountRef': {'value': '1150040061', 'name': '41010 Sales/ Revenue VOX 150:Mob Demob Revenue VOX 150'}, 'TaxCodeRef': {'value': 'NON'}, 'TaxClassificationRef': {}}, 'CustomExtensions': []}, {'Amount': 9000.0, 'DetailType': 'SubTotalLineDetail', 'SubTotalLineDetail': {}}]","{'TxnTaxCodeRef': {'value': '3'}, 'TotalTax': 0, 'TaxLine': [{'Amount': 0, 'DetailType': 'TaxLineDetail', 'TaxLineDetail': {'TaxRateRef': {'value': '3'}, 'PercentBased': True, 'TaxPercent': 6.25, 'NetAmountTaxable': 0}}]}","{'value': '22', 'name': 'Coterra Energy Inc'}",,"{'Id': '65', 'Line1': '2000 Park Lane, Suite 300', 'City': 'Pittsburgh', 'Country': 'United States', 'CountrySubDivisionCode': 'PA', 'PostalCode': '15275'}","{'Id': '65', 'Line1': '2000 Park Lane, Suite 300', 'City': 'Pittsburgh', 'Country': 'United States', 'CountrySubDivisionCode': 'PA', 'PostalCode': '15275'}",False,,2024-12-01,9000.0,False,NotSet,NotSet,0.0,{},,,,,INV # 11363,22,Coterra Energy Inc,False,2024-11-01,3,Pittsburgh,PA,USL East,Mobilization/Demobilization VOX 150,9000.0,0.0
